Season,Country,player_name,Kicker_Foot,Kicker_Side,Goalie_Side,Outcome,goalkeeper_name,Home_Goals,Away_Goals,Minute,Team_Type
24/25,Portugal,Galeno ,R,L,L,1.0,Andrew,0,0,30,H
24/25,Portugal,Namaso,R,L,R,1.0,Andrew,0,0,70,H
24/25,Portugal,Safira,R,R,L,1.0,Dani Figueira,1,0,70,A
24/25,Portugal,Reisinho,L,L,R,1.0,Ricardo Batista,0,0,77,A
24/25,Portugal,Galeno ,R,L,R,1.0,Gabriel Batista,1,0,25,A
24/25,Portugal,Alan,R,L,L,1.0,Nico Mantl,1,1,45,H
24/25,Portugal,Fujimoto,L,C,R,1.0,Simao,2,2,90,H
24/25,Portugal,Clayton,R,R,R,1.0,Nico Mantl,0,0,43,H
24/25,Portugal,M. Leonardo,R,L,L,1.0,Kewin,0,1,90,A
24/25,Portugal,Galeno ,R,L,L,1.0,Velho,0,0,48,H
24/25,Portugal,Ángel Di María,L,L,R,1.0,Lucas França,0,0,59,A
24/25,Portugal,Cassiano,R,L,L,1.0,Andrew,1,0,85,A
24/25,Portugal,Cassiano,R,R,L,1.0,Varela,0,0,39,H
24/25,Portugal,G. Assunçao,R,C,R,1.0,Nico Mantl,0,1,77,H
24/25,Portugal,Reisinho,L,R,L,1.0,Varela,2,0,90,A
24/25,Portugal,Reisinho,L,C,L,1.0,Varela,2,1,90,A
24/25,Portugal,T. Silva,R,L,L,1.0,Bruno Brigiido,1,1,69,A
24/25,Portugal,R. Pinho,L,L,R,1.0,Varela,1,2,84,H
24/25,Portugal,R. Macedo,R,C,L,1.0,Gabriel Batista,1,0,13,H
24/25,Portugal,Bruma,R,L,R,1.0,Nico Mantl,0,0,16,A
24/25,Portugal,Cassiano,R,R,L,1.0,Velho,0,1,32,H
24/25,Portugal,O. Aranda,R,R,L,1.0,Robles,2,0,45,A
24/25,Portugal,Ángel Di María,L,R,L,1.0,Nico Mantl,0,1,71,A
24/25,Portugal,Bruma,R,C,R,1.0,Robles,1,0,56,H
24/25,Portugal,A. Marques,R,R,L,1.0,Matheus,2,0,68,A
24/25,Portugal,G. Assunçao,R,R,R,1.0,Patrick S.,1,0,72,A
24/25,Portugal,Reisinho,L,L,R,1.0,Velho,0,1,90,H
24/25,Portugal,T. Silva,R,C,R,1.0,Lucas França,0,1,24,H
24/25,Portugal,A. Marques,R,R,L,1.0,Caio Seco,0,1,22,H
24/25,Portugal,G. Silva,R,L,R,1.0,Lazar,0,0,32,A
24/25,Portugal,Clayton,R,L,R,1.0,Lucas França,1,1,73,H
24/25,Portugal,Alan,R,R,L,1.0,Simao,0,0,9,H
24/25,Portugal,Jason ,R,L,L,1.0,Cesar,0,0,45,A
24/25,Portugal,Yalcin,R,R,L,1.0,Cesar,1,1,90,A
